State,FIPS,DSCI,date
CA,06047,200,2012-10-16
CA,06047,200,2012-10-23
CA,06047,200,2012-10-30
CA,06047,200,2012-11-06
CA,06047,200,2012-11-13
CA,06047,200,2012-11-20
CA,06047,200,2012-11-27
CA,06047,200,2012-12-04
CA,06047,200,2012-12-11
CA,06047,200,2012-12-18
CA,06047,200,2012-12-25
CA,06047,200,2013-01-01
CA,06047,200,2013-01-08
CA,06047,190,2013-01-15
CA,06047,190,2013-01-22
CA,06047,190,2013-01-29
CA,06047,190,2013-02-05
CA,06047,190,2013-02-12
CA,06047,190,2013-02-19
CA,06047,190,2013-02-26
CA,06047,190,2013-03-05
CA,06047,189,2013-03-12
CA,06047,189,2013-03-19
CA,06047,189,2013-03-26
CA,06047,189,2013-04-02
CA,06047,189,2013-04-09
CA,06047,189,2013-04-16
CA,06047,189,2013-04-23
CA,06047,189,2013-04-30
CA,06047,290,2013-05-07
CA,06047,290,2013-05-14
CA,06047,290,2013-05-21
CA,06047,290,2013-05-28
CA,06047,300,2013-06-04
CA,06047,300,2013-06-11
CA,06047,300,2013-06-18
CA,06047,300,2013-06-25
CA,06047,300,2013-07-02
CA,06047,300,2013-07-09
CA,06047,300,2013-07-16
CA,06047,300,2013-07-23
CA,06047,300,2013-07-30
CA,06047,300,2013-08-06
CA,06047,300,2013-08-13
CA,06047,300,2013-08-20
CA,06047,300,2013-08-27
CA,06047,300,2013-09-03
CA,06047,300,2013-09-10
CA,06047,300,2013-09-17
CA,06047,300,2013-09-24
CA,06047,300,2013-10-01
CA,06047,300,2013-10-08
CA,06047,300,2013-10-15
CA,06047,300,2013-10-22
CA,06047,300,2013-10-29
CA,06047,300,2013-11-05
CA,06047,300,2013-11-12
CA,06047,400,2013-11-19
CA,06047,400,2013-11-26
CA,06047,400,2013-12-03
CA,06047,400,2013-12-10
CA,06047,400,2013-12-17
CA,06047,400,2013-12-24
CA,06047,400,2013-12-31
CA,06047,400,2014-01-07
CA,06047,400,2014-01-14
CA,06047,400,2014-01-21
CA,06047,458,2014-01-28
CA,06047,458,2014-02-04
CA,06047,458,2014-02-11
CA,06047,475,2014-02-18
CA,06047,497,2014-02-25
CA,06047,498,2014-03-04
CA,06047,498,2014-03-11
CA,06047,498,2014-03-18
CA,06047,498,2014-03-25
CA,06047,498,2014-04-01
CA,06047,498,2014-04-08
CA,06047,498,2014-04-15
CA,06047,498,2014-04-22
CA,06047,498,2014-04-29
CA,06047,498,2014-05-06
CA,06047,498,2014-05-13
CA,06047,498,2014-05-20
CA,06047,498,2014-05-27
CA,06047,498,2014-06-03
CA,06047,498,2014-06-10
CA,06047,500,2014-06-17
CA,06047,500,2014-06-24
CA,06047,500,2014-07-01
CA,06047,500,2014-07-08
CA,06047,500,2014-07-15
CA,06047,500,2014-07-22
CA,06047,500,2014-07-29
CA,06047,500,2014-08-05
CA,06047,500,2014-08-12
CA,06047,500,2014-08-19
CA,06047,500,2014-08-26
CA,06047,500,2014-09-02
CA,06047,500,2014-09-09
CA,06047,500,2014-09-16
CA,06047,500,2014-09-23
CA,06047,500,2014-09-30
CA,06047,500,2014-10-07
CA,06047,500,2014-10-14
CA,06047,500,2014-10-21
CA,06047,500,2014-10-28
CA,06047,500,2014-11-04
CA,06047,500,2014-11-11
CA,06047,500,2014-11-18
CA,06047,500,2014-11-25
CA,06047,500,2014-12-02
CA,06047,500,2014-12-09
CA,06047,500,2014-12-16
CA,06047,500,2014-12-23
CA,06047,500,2014-12-30
CA,06047,500,2015-01-06
CA,06047,500,2015-01-13
CA,06047,500,2015-01-20
CA,06047,500,2015-01-27
CA,06047,500,2015-02-03
CA,06047,500,2015-02-10
CA,06047,500,2015-02-17
CA,06047,500,2015-02-24
CA,06047,500,2015-03-03
CA,06047,500,2015-03-10
CA,06047,500,2015-03-17
CA,06047,500,2015-03-24
CA,06047,500,2015-03-31
CA,06047,500,2015-04-07
CA,06047,500,2015-04-14
CA,06047,500,2015-04-21
CA,06047,500,2015-04-28
CA,06047,500,2015-05-05
CA,06047,500,2015-05-12
CA,06047,500,2015-05-19
CA,06047,500,2015-05-26
CA,06047,500,2015-06-02
CA,06047,500,2015-06-09
CA,06047,500,2015-06-16
CA,06047,500,2015-06-23
CA,06047,500,2015-06-30
